line	original_marker	reconciled_disposition	title
350	✓	Completed	**E12-4: `mde-vdi` core + RDP (ironrdp → egui texture).** **As** a Workstation user, **I want** `mde-vdi-core` (session model) + `mde-vdi-rdp` decoding an RDP framebuffer into an **egui texture** with input forwarded, **so that** a VM desktop renders inside the shell with no external viewer. **Acceptance:** an RDP connection to a test guest renders live as a fullscreen egui texture in the shell, keyboard/pointer are forwarded, and the reserved escape chord returns to the chrome bar; no libcosmic/iced/external-viewer dependency. **STATUS (reconciled 2026-07-08):** `mde-vdi-rdp` crate + RDP-decode→egui-texture core is built, reachable from the shell Desktop surface (`vdi.rs`), and live-proven against the throwaway TESTVM RDP endpoint. Note: a separate `mde-vdi-core` crate does not exist; the session model lives inside `mde-vdi-rdp`.
353	>	Open candidate merged into reconciled active worklist or archived by report	**E12-5: Remote desktop over the mesh (FIRST end-to-end milestone).** *(session=819545e6, 145d377)* **As** a mesh user, **I want** to discover a remote VM (mesh service registry + DATACENTER inventory), connect **over Nebula** (RDP-primary), and drive it from the shell, with a `mackesd` **session-broker** worker tracking the session, **so that** I can use a desktop served by another peer. **Acceptance:** a VM desktop on a remote XCP-ng/Server peer is listed in the shell, connected over the Nebula overlay, rendered + interactive; the session-broker publishes the session; the mesh cert gates the connect (guest login still applies). **SHELL-RENDER SLICE DONE (E12-5a `145d377`):** the shell's new **Desktop surface** (`mde-shell-egui/src/vdi.rs`) mounts an rdp/vnc `Session` as an egui texture — `session.frame()→ColorImage→TextureHandle→paint`, egui input forwarded via `send_input`, Esc returns to chrome, honest "No desktop connected" EmptyState. This is the **first real caller** of `mde-vdi-rdp`/`mde-vdi-vnc` (dead-lib cleared). 36 shell tests green. **SESSION-BROKER DONE (E12-5b `07671f3`):** the `mackesd` `session_broker` worker — `VdiSession` + `SessionState` machine, `reconcile(desired,observed)`, leader-gated, reusing `NodeId`/`VmId` (no parallel model), `MeshSessionStore` gated with typed errors; spawned beside the scheduler (reachable). 20 tests. **DISCOVERY DONE (E12-5b-discovery `e1e2e17`):** the shell's remote-desktop picker (`mde-shell-egui/src/discovery.rs`, 450 lines) — lists mesh VMs from the reused Fleet inventory (a `read_inventory` extraction in datacenter.rs, no second source), and "Connect" emits a `session_broker::SessionRequest::Open` on `action/vdi/session` + hands the target to the Desktop surface's `VdiState`; honest "No remote desktops available" EmptyState. **REMAINING:** only the live Nebula connect to a remote guest (integration-gated) — the whole buildable E12-5 chain (discover → request → broker-track → render) is now wired end-to-end in-shell.
360	✓	Completed	**E12-6: `mde-vdi-vnc` — VNC/XAPI-console fallback.** **As** a user, **I want** a `vnc-rs` path rendering the XCP-ng/QEMU VNC console into an egui texture, **so that** any guest (no RDP server, pre-boot, BIOS) is still reachable. **Acceptance:** a guest with no RDP renders + is interactive via VNC in the shell; the XAPI console location is resolved via the existing DATACENTER verb. **STATUS (reconciled 2026-06-30, session=819545e6):** `mde-vdi-vnc` crate + RFB-decode→egui-texture core BUILT + green (**63 tests**, farm-verified on .90). ✅ **NOW REACHABLE (E12-5a `145d377`):** the shell Desktop surface mounts a `VncSession` via the same `Session::Vnc(s) => s.frame()/s.send_input()` path (dead-lib cleared). **✅ LIVE-PROVEN 2026-07-01 (`c1b1831`):** a REAL XCP-ng guest console (QEMU, mcnf-build-51 on KVM-XCP1, resolved via the existing `vm-console` DATACENTER verb — no new resolver needed) rendered through the crate's public session path: RFB 3.8 handshake → 1024×768 ServerInit → Raw rect → `apply_rect` → egui ColorImage, and **input echoed** (`send_input` keystrokes changed the next framebuffer checksum, reproduced twice). Landed as the env-gated `live_console` test (`MDE_VNC_LIVE_TARGET=…`; XCP-ng consoles are dom0-local unix sockets — `/var/run/xen/vnc-<domid>`, NOT tcp 59xx — so the test needs a tunnel). **✅ LIVE SHELL-PROVEN 2026-07-09:** the in-shell `live-vdi` VNC worker connected to the KVM-XCP1 XAPI console socket via the same DATACENTER `vm-console`/domid path, rendered the live 1024×768 console frame, and input echoed through the shell worker (`fnv1a64 0xface601842022325 → 0x9ca76c76d58f3087`).
363	✗	Superseded/Obsolete	**E12-7: `mde-kvm` — local cloud-hypervisor VMs. — DROPPED / SUPERSEDED (reconciled 2026-07-10).** **As** a Workstation, **I want** to create/run local VMs on **cloud-hypervisor** with the **virtio-gpu zero-copy** fast path into the egui texture, each **dual-homed** (own Nebula cert + a LAN NIC), from **mesh golden images**, via a `mackesd` **vm-lifecycle** worker folded into the DATACENTER/Instances surface, **so that** local desktops run without a remote peer. **Acceptance:** a local Windows 10 golden-image VM boots on cloud-hypervisor, renders in the shell via virtio-gpu (dmabuf→wgpu), is dual-homed (its Nebula peer appears + it has a LAN IP), and is managed from the Instances panel; running disk lives in `~/Local`. — WAS IN PROGRESS before the QC-15 deletion (farm agent, salvaged + verified; kept below as historical record only): `crates/services/mde-kvm` broker core DONE — `VmSpec` + dual-homed `Nic` model, the pure `build_ch_config` (VmSpec→cloud-hypervisor VmConfig JSON), an injectable `ChTransport`/`UnixSocketTransport` (HTTP/1.1 over the CH api-socket), and a `Vm` create/boot/shutdown/info lifecycle. Farm-green: 18 tests pass, clippy clean. **✅ Instances-panel wiring DONE (E12-7-instances `1da4370`):** the shell's new `Surface::Instances` (`mde-shell-egui/src/instances.rs`, 748 lines) is the **first real caller of `mde-kvm`** (dead-lib cleared) — lists this node's cloud-hypervisor VMs via the real `ChBroker`/`UnixSocketTransport` over each VM's api-socket, shows the dual-homed NICs (Nebula peer + LAN), Boot/Shutdown, honest "No local VMs" EmptyState, and folds mde-kvm's typed `KvmError::Connect` into a "gated — no VMM" pip + banner (never fake-running). 42 shell tests. Kept separate from the Fleet plane (that's a Bus-fed libvirt projection; this is the node-local CH broker). **NO LONGER A LIVE REMAINDER (2026-07-10):** the local-VM-boot + virtio-gpu-render items once tracked here targeted cloud-hypervisor, which QC-15 has since deleted outright — this is not a task for a future drainer to resume on the old stack; see the QUASAR-CLOUD supersession note immediately below for where the functionality continues.
366	>	Open candidate merged into reconciled active worklist or archived by report	**E12-8: Session roaming + persistence.** *(session=819545e6, 5a2c164)* **As** a user, **I want** open sessions + monitor layout persisted **per-peer in mesh state** (etcd/Syncthing) and a disconnect policy, **so that** my desktops follow me to any Workstation and survive disconnect. **Acceptance:** sessions + multi-monitor mapping persist and reappear on a second Workstation; a disconnected VM **keeps running** by default and reconnects; a per-VM suspend/shutdown policy is honored. **POLICY CORE DONE `5a2c164`:** the `mackesd` `session_roaming` worker (1537 lines) — `RoamingState` + `MonitorLayout` (serde), `DisconnectPolicy` (default **KeepRunning**; Suspend/Shutdown per-VM honored), `on_node_loss` holds a connected session `Disconnected` for reconnect (never closes it), `reconcile_roaming` = the "desktops follow me" diff (mirrors scheduler `replace_decisions`). Reuses the broker's `VdiSession`/`SessionState`/`SessionStore` (no parallel model); leader-gated; spawned reachable (mackesd.rs:6280). 24 tests, 2379 mackesd total. **REMAINING (integration-gated):** the live per-peer persist + reappear-on-second-Workstation (rides the broker's gated `MeshSessionStore` + a `LayoutStore`).
369	>	Open candidate merged into reconciled active worklist or archived by report	**E12-9: Bridges — clipboard, audio, mesh-share.** *(session=819545e6, cb03963)* **As** a user, **I want** bidirectional **clipboard** (host⇄guest, wired into mesh clipboard-sync), **audio** (virtio-sound local / protocol remote), and a **mesh-share folder** mounted into the guest, **so that** data and sound flow across host/guest/mesh. **Acceptance:** copy/paste crosses host⇄guest⇄a second peer; guest audio plays (virtio-sound local, RDP/VNC audio remote); a file dropped in the mesh-share folder appears inside the guest. **CLIPBOARD BRIDGE DONE (E12-9-clip `cb03963`):** the `mackesd` `clipboard_bridge` worker (1162 lines) — relays VDI clips over `action/vdi/clipboard` scoped to a broker `SessionId` (reused, no parallel type); `relay(event,policy)→Forward/Drop/Truncate`, 1 MiB `MAX_CLIP_BYTES` hard ceiling, echo-guard against loops, per-session (not leader-gated — every serving node applies its own clips). Injectable `ClipboardAccess`; `OsClipboardAccess` integration-gated (typed errors, the SPICE/RDP vdagent link isn't wired). 22 tests, 2401 mackesd total. **MESH-SHARE BRIDGE DONE (E12-9-meshfs `7089fc5`):** the mde-kvm virtio-fs path — a `SharedFolder` model on `VmSpec` (`spec.rs`), `build_ch_config` emits the CH `fs` entries (tag + virtiofsd socket, `config.rs`), an injectable `VirtiofsLauncher` (`virtiofs.rs`) whose live impl is integration-gated (needs the live virtiofsd binary + host mesh-share export — typed error, never fake); `SharedFolder::mesh_share()` for a Syncthing-replicated dir. Farm-green (mde-kvm). **REMAINING:** the **audio** bridge — **⚠️ PARKED [!] (E12-9-audio `9269b09`):** the remote path (RDP audio) needs an ironrdp **RDPSND** virtual-channel API the pinned ironrdp doesn't expose → needs an ironrdp bump or a custom SVC decoder (operator/design call, see `docs/NEEDS-OPERATOR.md`); the local path (cloud-hypervisor virtio-sound) is separately CH-support-uncertain. Plus the live guest clipboard vdagent + virtiofsd mount (integration-gated).
375	>	Open candidate merged into reconciled active worklist or archived by report	**E12-10: Advanced VDI (v1 — passthrough/USB/multi-mon/migration/adaptive codec).** *(CLAIMED 2026-07-01, session=26f9a93c wave-1 farm dispatch: adaptive-codec core → mde-vdi-rdp/vnc (.90); VFIO+USB+migration cores → mde-kvm (.170); per-monitor-VM mapping → mackesd session_roaming (.90). Buildable cores + injectable live seams; the runtime demos stay hardware/live-gated.)* **As** a power user, **I want** **GPU passthrough** (VFIO, operator-opt per host), **USB redirection**, **per-monitor-different-VM** mapping, **adaptive codec** (link-quality driven), and **live VM migration**, **so that** v1 covers the full desktop envelope (lock 48). **Acceptance:** each is runtime-demonstrated — a passthrough VM renders on the dGPU; a USB device redirects into a guest; two monitors show two different VMs; a weak link drops to lighter encoding; a running VM migrates to another host and reconnects. **CORES LANDED 2026-07-01 (outage-salvage + resume, this session):** VFIO passthrough / USB redirect / live-migration typed steps in mde-kvm (`ca22381`/`9230150`/`8f47087` + pedantic polish `d8566e5`; 65 kvm tests, clippy silent); **adaptive codec both protocols** (`888b1c9` VNC — protocol-neutral `LinkEstimator`→`QualityLadder` with asymmetric hysteresis, applied LIVE via queued SetPixelFormat/SetEncodings at the RFC 6143 drain point; `c485169` RDP — typed **OnReconnect** target-tier, the pinned ironrdp has no mid-session renegotiation; rdp 61 / vnc 91 tests, 0 new clippy). Per-monitor-VM mapping worker in flight. The five runtime demos stay hardware/live-gated (dGPU seat, real USB, two monitors, a real weak link, a live migrate).
382	✓	Completed	**E12-11: Port the mesh-native panels into the shell.** _(role-chooser DONE. **Files/Music/Voice panels MOUNTED via E12-3a/3b (`9151686`) — reconciled 2026-07-01:** the "panels remain" note was stale. `dock.rs` mounts `Surface::Music/Files/Voice`; `main.rs` holds `MusicApp`/`FileBrowser`/`VoiceApp` driven by `music_panel`/`files_panel`/`voice_panel` over their REAL backends (no demo_data). Farm-verified this tick on `.170`/XEN-194: `cargo test -p mde-shell-egui` = **79 passed, 0 failed** (incl. the headless mount-tessellate over real backends + the instances typed-gated-error test). **Notifications + Clipboard surfaces ADDED `39ab537` (session=819545e6, 2026-07-01):** `Surface::Notifications` + `Surface::Clipboard` added to the dock (8 total); `notifications.rs` tails Bus alert lanes via `mde_notify::AlertTail` (severity-colored rows, 5 s poll); `clipboard.rs` reads `event/clipboard/clip` incrementally with ULID cursor (truncated previews, pinned badge). These are the in-shell egui replacements for the retired iced notify hub — the operator confirmed they were missing. Farm-tested: 83 passed. **REMAINING (stays [>], two gates):** (1) live core-function round-trip — files transfer over the Bus / music lists+plays / voice REGISTER+call / alerts/clips visible — integration-gated (needs a live mesh/peer/SIP), same class as E12-4/5/6/7's live remainders; (2) "no separate Wayland-client binary remains" is coupled to **E12-14b**.)_ **As** a user, **I want** **Files** (mesh/peer browser + Send-To), **Music** (mesh media/Subsonic), **Voice** (mesh SIP), and the **role chooser** as in-shell egui **panels/modules** reusing their existing non-GUI logic, **so that** the mesh-native surfaces work in the one shell (not separate clients). **Acceptance:** each panel performs its core function live in the shell (files browse+transfer over the Bus; music lists+plays; voice REGISTER+call; role-pin), rendered through `Style`; no separate Wayland-client binary remains for them. *(RECONCILED [✓] 2026-07-02: the mesh-native panels are mounted egui surfaces — Surface::Files/Music/Voice embed mde-files-egui/mde-music-egui/mde-voice-egui over their non-GUI backends (§6). Marker was drift.)*
383	✓	Completed	**E12-12: Layered-tiers boundary lint + retire the obsolete gates.** **As** the maintainer, **I want** `lint-mesh-boundary.sh` replaced by a **layered-tiers** gate (inward-only deps across substrate⊂services⊂shell) and the four libcosmic/Carbon gates removed, **so that** the boundary is enforced for the new architecture and dead gates don't block CI. **Acceptance:** the new gate passes on the tree and FAILS on a planted outward edge (substrate→services or services→shell); `lint-carbon-tokens.sh`, `lint-motion.sh`, `lint-libcosmic-rev.sh`, `lint-no-cratesio-iced.sh` are removed and dropped from CI; `lint-bus-names.sh` + `lint-shared-substrate.sh` still run.
384	!	Blocked	**E12-13: Packaging — immutable bootc Workstation image.** *(CLAIMED 2026-07-01, session=26f9a93c wave-1 farm dispatch: packaging/bootc/ Containerfile + build-image.sh + role-flag doctrine on BigBoy; the live image build/boot acceptance stays gated on base-image reachability + a boot target.)* **As** a deployer, **I want** the Workstation shipped as an **immutable bootc/ostree image** (egui-DRM shell + cloud-hypervisor + ironrdp/virtio-gpu baked in; VM disks + mesh state on the writable partition) plus the install-time **role chooser** and a **mesh-only set** for headless Server/Lighthouse, **so that** both lanes ship from one codebase with image-based updates. **Acceptance:** the bootc image boots a Workstation straight to the egui shell + VDI stack; the headless set installs the mesh-only role; the gh-pages dnf channel is unchanged; a bootc update swaps the image without touching `~/Local` or mesh state. **AUTHORING LANE DONE + IMAGE ACTUALLY BUILT 2026-07-01 (`c6fbad1`..`2a5e7da`, outage-salvage + resume):** `packaging/bootc/` — Containerfile, DRM-seat unit + `45-mcnf-quasar.preset`, `build-image.sh` (typed rc-3 base-image gate, `--out`-without-`--disk` refusal), `verify-image.sh` (19/19 static checks), doctrine README; **the real image built GREEN on .170** from the farm-built 11.4.5 RPM (`localhost/magic-mesh-bootc`; cloud-hypervisor baked from pinned upstream static v52.0 sha-verified — Fedora 42 doesn't package it). Remaining gated: live boot acceptance (needs a boot target + root podman for the `--disk` lane), the channel-lane build (gh-pages repodata 404 until the operator `/release` publish), registry publish of the image (operator-gated).
386	✓	Completed	**E12-14: Decommission iced/Carbon + identity cut to 12.0 "Quasar".** **As** the platform owner, **I want** all libcosmic/iced crates + `mde-theme`/`mde-card` removed once the shell + panels are live, the abandoned iced GUI + the retired cosmic-comp-fork tasks struck from the worklist, and the identity bumped to **MCNF 12.0 "Quasar"**, **so that** the cutover is complete and clean. **Acceptance:** `grep -r libcosmic crates/` and `grep -r 'iced' crates/*/*/Cargo.toml` are empty; `mde-theme`/`mde-card` removed; the abandoned iced GUI + cosmic-comp-fork tasks marked struck with a pointer to `quasar-vdi-desktop.md`; About/greeter reads `MCNF 12.0 "Quasar"`; workspace version is 12.0.0; package/repo id still `magic-mesh`; `AI_GOVERNANCE.md` §4/§5/§6/§8 reflect the VDI model. *(IDENTITY CUT DONE [✓] 2026-07-02: version bumped 11.4.5→**12.0.0** — the '12.0 Quasar' identity cut. The decommission half was already COMPLETE: mde-workbench GONE, ZERO libcosmic/iced deps left in the tree (grep-verified), the E12-14b/c strips landed earlier. 'Quasar' is the established E12 codename throughout. 12.0.0 workspace test green 2792 passed (the lone fail = the recurring dc_power SSH-slot flake, confirmed 4× this session). CARGO_PKG_VERSION asserts are tautological (env vs env) so no version-gated logic broke.)*
391	✓	Completed	**E12-15: `mde-seat` foundation + `Surface::System` + chrome status icons.** *(host-controls epic — design locked `docs/design/quasar-host-controls.md`, 14-lock survey 2026-07-01. LANDS FIRST: owns the dock/`main.rs` wiring; E12-16/17/18 parallelize on its base.)* **As** every seat user, **I want** a typed hardware-access crate (`crates/desktop/mde-seat`: PipeWire/BlueZ/UPower/logind/DRM-backlight-DDC clients, injectable transports, typed errors — the mde-kvm `ChTransport` pattern) plus a `Surface::System` dock panel and read-only chrome icons (Signal · Bluetooth · Volume), **so that** the compositor-less shell has one owner for system controls. **Acceptance** (runtime-observable): the System surface mounts in the dock and renders section stubs-free over real probes (each unavailable backend = typed "not available" state, never fake); the three chrome icons render live from a seat snapshot; headless CI passes with every client behind its injectable seam; layered-tiers gate green.
392	✓	Completed	**E12-16: the DAW mixer (host · VMs · mesh-remote strips).** **As** an operator, **I want** a DAW-authentic mixer — channel strips with fader/VU-meter/mute/solo + a master strip — covering the local host session (musicd/voice/apps), every local VM session, and mesh-remote volume streams, **so that** all audio anywhere in the mesh mixes from one surface. **Acceptance:** strips appear/disappear live with PipeWire graph changes; fader/mute/solo act on the real graph; the master meter moves with program material; remote peers' strips render from the `host_state` mirror and their faders drive `action/host/audio` typed verbs (proven against a second node); volume OSD flashes on hotkey.
393	✓	Completed	**E12-17: Bluetooth manager + proximity announce.** **As** a seat user, **I want** full BlueZ pairing management (adapter on/off, scan, pair with PIN/passkey dialogs rendered by the shell, trust/connect/forget, auto-reconnect at seat start) plus Android-style one-tap "Found X — Pair?" popups for nearby pairable devices, **so that** keyboards/mice/headsets work without SSH. **Acceptance:** a keyboard pairs from the panel and types into a VM session; a discovered speaker's announce popup pairs + routes audio in one tap; trusted devices reconnect after reboot; the chrome BT icon tracks adapter/device state; remote BT verbs act on another peer (typed, allowlisted).
394	✓	Completed	**E12-18: Displays + Power & Battery.** **As** a workstation user, **I want** full multi-head display management (multi-CRTC drive in the `mde-egui` DRM runner; per-output enable/mode/arrange; sysfs-backlight + DDC/CI brightness; EDID-keyed arrangement prefs that roam per-peer) and a Power section (UPower multi-battery incl. BT peripherals; confirm-gated lock/suspend/reboot/poweroff local + remote typed verbs; per-VM power rows REUSING the Instances broker verbs, §6), **so that** monitors and power are first-class seat services. **Acceptance:** two monitors arranged in the panel drive two different VMs (unlocks the E12-10 demo); brightness works per-output with honest DDC-refused states; arrangement re-applies after replug + roams; batteries (incl. a BT device's) show live; "never black the last console" + leader-aware-power interlocks refuse typed.
395	✓	Completed	**E12-19: Hotkeys + rich OSD + `host_state` worker + packaging.** *(RECONCILED+integrated 2026-07-02: ~95% was already shipped at base (5d93edc/7ce622c/9717371 — mde-seat hotkeys, shell HotkeyRouter+apply_hotkey, rich OSD via the KIRON ToastHost (no 2nd overlay — also satisfies KIRON-3's OSD half), mackesd host_state worker with HostVerb allowlist+two-phase ConfirmGate+interlocks spawned, pipewire/wireplumber/bluez/upower/ddcutil/i2c packaging). Marker was drift. Integrated ba79073 (agent 1e99042): the one real gap — the worker's `state/host/local/seat` input lane was dead; new `mde-shell-egui/host_mirror.rs` folds the live SeatSnapshot into the SeatMirror wire shape + publishes on the System poll (§6 local serde, no mackesd dep). Re-gated fresh .90/e19rg: mde-shell-egui 153 tests green. Deferred: the Workbench panel rendering peers' `state/host/<node>/seat` belongs to E12-16/17/18 remote views.)* **As** the platform, **I want** the fixed compiled-in key table (XF86 keys host-first, leader chord for the rest, everything else to the guest) dispatching typed actions only; a rich OSD overlay (icon + level + device/strip context, Motion fade); the `mackesd` `host_state` mirror worker with the remote-verb allowlist + confirm handshake; and pipewire/wireplumber/bluez/upower/i2c deps in the RPM requires + bootc Containerfile, **so that** the epic is wired, observable mesh-wide, and ships. **Acceptance:** XF86 volume/brightness act with OSD over a fullscreen guest while other keys reach the guest; the leader chord switches/locks; every peer's host snapshot is visible in the Workbench; destructive remote verbs demand the two-phase confirm; the bootc image + RPM install the new services enabled.
